iter	RMSE
348	0.214404492
349	0.2134548861
350	0.2125435324
351	0.2116084573
352	0.2107101702
353	0.2098144049
354	0.208894888
355	0.2080293472
356	0.2071164474
357	0.206214997
358	0.2053550204
359	0.2044547136
360	0.2035640157
361	0.2026600446
362	0.2017638203
363	0.2008929115
364	0.2000579051
365	0.1991888389
366	0.1983272042
367	0.1974521927
368	0.1965749952
369	0.1957494609
370	0.1949157768
371	0.1940971421
372	0.1932398534
373	0.1924432527
374	0.1915816685
375	0.190731162
376	0.1899051838
377	0.1891226985
378	0.1883009848
379	0.1874460604
380	0.1866315301
381	0.1858206631
382	0.1849937466
383	0.1841872469
384	0.1833767248
385	0.1826374357
386	0.1818884945
387	0.1811084757
388	0.1803037617
389	0.1795251038
390	0.1787636431
391	0.1780172309
392	0.1772543881
393	0.1765302053
394	0.1757675832
395	0.1750498386
396	0.174295172
397	0.1735768225
398	0.1728189727
399	0.1720830324
400	0.1713001121
401	0.1705497677
402	0.1698133098
403	0.1690627088
404	0.1683289562
405	0.1676222004
406	0.1669076493
407	0.1661948735
408	0.1655143012
409	0.1647832685
410	0.1640939113
411	0.1633893865
412	0.1626958917
413	0.1619965917
414	0.1612791413
415	0.1606364331
416	0.1599794337
417	0.1592724409
418	0.1586487517
419	0.1579643183
420	0.1573122138
421	0.1566682634
422	0.1559834701
423	0.1553001366
424	0.1546325576
425	0.1539626953
426	0.1533455491
427	0.1526982618
428	0.1520728892
429	0.1514281311
430	0.1508166942
431	0.1501790318
432	0.1495416577
433	0.1489199957
434	0.1482914483
435	0.1476300054
436	0.1470133142
437	0.1464127489
438	0.1458027612
439	0.14520351
440	0.1445817915
441	0.1439587007
442	0.1433226651
443	0.1427499812
444	0.1421179211
445	0.1415031188
446	0.1408997779
447	0.1402939833
448	0.1397149306
449	0.139132372
450	0.138574762
451	0.1379756281
452	0.1373865076
453	0.1368569212
454	0.1362965473
455	0.1357469241
456	0.1351786669
457	0.1345974108
458	0.1340859344
459	0.1335549993
460	0.1330174394
461	0.1324645422
462	0.1319156668
463	0.1313906446
464	0.1308494754
465	0.1303001918
466	0.1297487702
467	0.1292144714
468	0.1286728759
469	0.1281507237
470	0.1276116568
471	0.1270711498
472	0.1265171702
473	0.1259926402
474	0.1254797417
475	0.1249586031
476	0.1244425562
477	0.1239448391
478	0.1234239898
479	0.1229253917
480	0.1224221761
481	0.1219320941
482	0.1214081128
483	0.1208951427
484	0.1204105312
485	0.1199006846
486	0.1194248275
487	0.118949159
488	0.1184544721
489	0.1179590404
490	0.1174921096
491	0.1169944297
492	0.1165022967
493	0.1160295578
494	0.1155567699
495	0.1151031291
496	0.1146509798
497	0.1141773853
498	0.1137232925
499	0.1132506961
500	0.112777336
501	0.1123247613
502	0.1118842976
503	0.1114113148
504	0.1109602084
505	0.110497921
506	0.1100617391
507	0.1096339226
508	0.1091872834
509	0.1087269635
510	0.1082887137
511	0.1078257272
512	0.1073759829
513	0.1069226299
514	0.1064672079
515	0.1060246786
516	0.1055828964
517	0.1051780641
518	0.1047550228
519	0.1043323506
520	0.1039088216
521	0.1034926102
522	0.1030878453
523	0.1026850958
524	0.1022377287
525	0.101839727
526	0.1014047809
527	0.1009937786
528	0.1005740457
529	0.1001768573
530	0.09977053536
531	0.09936122691
532	0.09896253375
533	0.09856423428
534	0.09816700595
535	0.09775362742
536	0.09734975979
537	0.09694227091
538	0.09655492075
539	0.09616856283
540	0.09578723636
541	0.09541420436
542	0.09502175777
543	0.09463539304
544	0.09424953272
545	0.09388762908
546	0.09349200902
547	0.09311360843
548	0.09273492948
549	0.09235560037
550	0.09198022985
551	0.09162541992
552	0.09124812282
553	0.09089929299
554	0.09053128935
555	0.09018156779
556	0.0898131157
557	0.08946980609
558	0.08911546446
559	0.08876128985
560	0.08841844584
561	0.08804908496
562	0.08772435657
563	0.08738520853
564	0.08703802272
565	0.08669336782
566	0.08635862013
567	0.08601549077
568	0.08568599925
569	0.08535005767
570	0.08501838869
571	0.0846759107
572	0.08433890974
573	0.08400566221
574	0.08367880687
575	0.0833807916
576	0.08304700762
577	0.08273468367
578	0.08241893304
579	0.08211795336
580	0.08182144893
581	0.08150331371
582	0.08116699703
583	0.08087905221
584	0.08059282179
585	0.08026325052
586	0.07995303374
587	0.07964131168
588	0.07933095017
589	0.07901515505
590	0.07871712337
591	0.07841831948
592	0.07812055561
593	0.07782777507
594	0.07753878956
595	0.07723467272
596	0.07694173676
597	0.07664992341
598	0.07635695777
599	0.07609161121
600	0.07577959795
601	0.07549271956
602	0.07519685274
603	0.07491815614
604	0.07463468652
605	0.07436657929
606	0.07410567082
607	0.07382999021
608	0.07355574798
609	0.07326958677
610	0.07300583845
611	0.07272021338
612	0.07244589287
613	0.07217229229
614	0.07189491411
615	0.07162963325
616	0.07135776704
617	0.07107775117
618	0.07083040653
619	0.07056067518
620	0.0703028593
621	0.07002981282
622	0.06977501237
623	0.06951249258
624	0.06926634762
625	0.06902110169
626	0.06878309438
627	0.06854060589
628	0.06830362361
629	0.06805622279
630	0.06779954197
631	0.06754840463
632	0.06728806089
633	0.06704649182
634	0.06681089604
635	0.06656600032
636	0.06631995444
637	0.06608084529
638	0.06584387279
639	0.06559312291
640	0.06536955812
641	0.06513848252
642	0.06489483687
643	0.06465769926
644	0.0644203709
645	0.06418273069
646	0.06396506293
647	0.06372240222
648	0.06350392098
649	0.06327809372
650	0.06304311601
651	0.06282057084
652	0.0625965
653	0.06237312714
654	0.06214917863
655	0.06191776753
656	0.06170059254
657	0.06147698157
658	0.06126163092
659	0.06106190068
660	0.06084505124
661	0.06063903363
662	0.06042070112
663	0.06021599901
664	0.06001111956
665	0.05980422447
666	0.0595850864
667	0.05937595696
668	0.05916886038
669	0.05896756347
670	0.05876164551
671	0.05856610415
672	0.05835705451
673	0.05815547211
674	0.05795926767
675	0.05776606542
676	0.05757038487
677	0.05737616587
678	0.05717262927
679	0.05697394492
680	0.05675907762
681	0.05657401316
682	0.05638273917
683	0.05618967136
684	0.05600215832
685	0.05582875029
686	0.05563835891
687	0.05545442736
688	0.05526690507
689	0.05507522885
690	0.05489032179
691	0.05470916883
692	0.05453920191
693	0.05435380755
694	0.05417345828
695	0.05399194102
696	0.05380762751
697	0.05361903161
698	0.05344000762
699	0.05325221915
700	0.05306410719
701	0.05289896271
702	0.05272142428
703	0.05253953406
704	0.05236857478
705	0.05218329754
706	0.05201253193
707	0.05183683199
708	0.05166512765
709	0.05149104039
710	0.05132206884
711	0.05115910408
712	0.05098848784
713	0.05082446085
714	0.05065586761
715	0.05048310643
716	0.05031714157
717	0.05015773877
718	0.04999732959
719	0.04983884943
720	0.04966999629
721	0.04951524396
722	0.04936468937
723	0.04919556533
724	0.04903606955
725	0.04886786167
726	0.04870436869
727	0.04854559803
728	0.04839229302
729	0.04823056943
730	0.04807574651
731	0.04793110836
732	0.04778157184
733	0.04763474141
734	0.0474856981
735	0.04734188709
736	0.04718816833
737	0.04703945693
738	0.04688641234
739	0.04673635818
740	0.04658322296
741	0.04643765733
742	0.04629997712
743	0.04616467251
744	0.04602998471
745	0.04589048583
746	0.04575120567
747	0.04561617477
748	0.04547651039
749	0.04533191923
750	0.04519238699
751	0.04505239852
752	0.04491691069
753	0.04478627581
754	0.04464530709
755	0.04451908857
756	0.0443911842
757	0.04426412055
758	0.04413614693
759	0.04400300059
760	0.0438754668
761	0.04374895159
762	0.04361774491
763	0.04348780139
764	0.04336200842
765	0.04324083736
766	0.04311601029
767	0.04298546717
768	0.04286057733
769	0.04273478935
770	0.04260724472
771	0.04248233571
772	0.0423535138
773	0.04223340655
774	0.04210412426
775	0.04197441607
776	0.04185170281
777	0.04172383205
778	0.04159823609
779	0.04147260661
780	0.0413529746
781	0.04123587123
782	0.04112857946
783	0.04100963285
784	0.0408921517
785	0.04077516528
786	0.04066146598
787	0.04054175894
788	0.04043499957
789	0.04032555732
790	0.04022428082
791	0.04011855899
792	0.03999710974
793	0.03988564952
794	0.03977826192
795	0.03966976766
796	0.03956481287
797	0.03945927281
798	0.03935055246
799	0.03924641081
800	0.03913736179
801	0.039036412
802	0.0389398979
803	0.03882145586
804	0.03871465559
805	0.03861128571
806	0.03850361546
807	0.03839341097
808	0.03829998119
809	0.03820795853
810	0.03810255135
811	0.03799960214
812	0.03790754088
813	0.0378039397
814	0.03769795717
815	0.03760116107
816	0.03750104465
817	0.03740317555
818	0.03729976592
819	0.03720685698
820	0.03711048111
821	0.03701608218
822	0.03692062522
823	0.03682500735
824	0.03672240864
825	0.03662723011
826	0.03653465405
827	0.03644200184
828	0.03634601675
829	0.03625454277
830	0.0361621138
831	0.03607622754
832	0.03598021214
833	0.03588493988
834	0.03578485103
835	0.03569463023
836	0.03560562662
837	0.03552649963
838	0.03543923513
839	0.03535441549
840	0.03526492615
841	0.03518480881
842	0.03508939127
843	0.03499744342
844	0.03491208709
845	0.03482718742
846	0.0347454346
847	0.03465680884
848	0.03457050168
849	0.03448895708
850	0.034407706
851	0.03432571632
852	0.03425279767
853	0.03417181738
854	0.03408605937
855	0.0340031931
856	0.03392749165
857	0.03384392088
858	0.03376674076
859	0.03367897493
860	0.03359602126
861	0.03351223928
862	0.03343070435
863	0.03334636833
864	0.03327132861
865	0.03318219437
866	0.03309704108
867	0.03302201238
868	0.03295095633
869	0.03287583817
870	0.03280200046
871	0.03272399822
872	0.03264209002
873	0.03256493387
874	0.03249793782
875	0.03242287424
876	0.03235135767
877	0.03228020272
878	0.03220933266
879	0.03214028103
880	0.03207751872
881	0.03200050236
882	0.03193771746
883	0.03187809991
884	0.03181129325
885	0.03173863163
886	0.03167120416
887	0.03159299698
888	0.03152378503
889	0.03145955971
890	0.03139251712
891	0.0313274088
892	0.03125641646
893	0.0311861149
894	0.03112139189
895	0.03105843493
896	0.03099382581
897	0.03092897394
898	0.0308679108
899	0.0307972649
900	0.03073219827
901	0.03066703039
902	0.03059863663
903	0.03052780418
904	0.03046127529
905	0.03040125009
906	0.03033603482
907	0.03026927447
908	0.03020653397
909	0.03014894447
910	0.03008519968
911	0.03002219841
912	0.02995872038
913	0.02989597081
914	0.02983772942
915	0.02977803896
916	0.02971687025
917	0.02965680701
918	0.02960056756
919	0.02954962704
920	0.02948744765
921	0.02943099625
922	0.02937792748
923	0.02932247282
924	0.02927160279
925	0.02921713605
926	0.02915797744
927	0.0291009405
928	0.02904714842
929	0.02898764938
930	0.02893501163
931	0.02888283533
932	0.02883219363
933	0.02877240723
934	0.02871128356
935	0.02865504045
936	0.02859953115
937	0.02854829864
938	0.02848742392
939	0.02843452805
940	0.02837531477
941	0.02832416127
942	0.02827127598
943	0.02821933032
944	0.02816643911
945	0.02811133046
946	0.02805676416
947	0.02800528916
948	0.02795737791
949	0.02791235494
950	0.02786303352
951	0.02781711009
952	0.02776778336
953	0.02772121832
954	0.02766995498
955	0.02762311326
956	0.02757735396
957	0.02753082842
958	0.02748056978
959	0.02742624071
960	0.02737730475
961	0.0273336924
962	0.02728955161
963	0.02724234658
964	0.02719728793
965	0.02714992996
966	0.02710075532
967	0.02705686269
968	0.02700988231
969	0.02696630911
970	0.02692011093
971	0.02687239751
972	0.02682461125
973	0.02678322923
974	0.02673793503
975	0.02669501004
976	0.02665274654
977	0.02660399529
978	0.02656616191
979	0.02651759659
980	0.02647150619
981	0.02643014146
982	0.0263878318
983	0.02634407417
984	0.02630511688
985	0.02626376377
986	0.02622329931
987	0.02618397513
988	0.0261368541
989	0.02609794403
990	0.02605549398
991	0.02601184492
992	0.02597100105
993	0.02592362513
994	0.02587989162
995	0.02583992193
996	0.02579776886
997	0.02575775234
998	0.0257179903
999	0.02567540217
