iter	Passed	Remaining
401	16196	24092
402	16236	24052
403	16275	24011
404	16317	23972
405	16359	23934
406	16398	23892
407	16441	23855
408	16479	23812
409	16521	23775
410	16564	23738
411	16609	23704
412	16651	23666
413	16690	23624
414	16730	23584
415	16772	23545
416	16812	23504
417	16856	23469
418	16857	23374
419	16896	23332
420	16938	23295
421	16977	23253
422	17021	23219
423	17065	23183
424	17106	23144
425	17146	23102
426	17186	23063
427	17225	23020
428	17271	22988
429	17311	22947
430	17330	22879
431	17371	22840
432	17412	22801
433	17455	22764
434	17494	22722
435	17535	22684
436	17574	22641
437	17614	22601
438	17634	22534
439	17673	22493
440	17715	22455
441	17754	22413
442	17794	22373
443	17815	22309
444	17853	22266
445	17894	22227
446	17936	22189
447	17979	22153
448	18019	22113
449	18059	22072
450	18102	22036
451	18144	21998
452	18184	21957
453	18223	21916
454	18265	21878
455	18306	21839
456	18348	21801
457	18387	21759
458	18432	21725
459	18473	21685
460	18514	21647
461	18555	21608
462	18596	21568
463	18636	21528
464	18680	21492
465	18722	21454
466	18765	21417
467	18806	21377
468	18846	21337
469	18885	21296
470	18925	21256
471	18970	21221
472	19012	21182
473	19052	21142
474	19092	21102
475	19101	21028
476	19144	20990
477	19187	20953
478	19228	20914
479	19268	20873
480	19306	20832
481	19349	20795
482	19395	20760
483	19436	20721
484	19476	20681
485	19516	20640
486	19556	20600
487	19558	20520
488	19598	20480
489	19641	20443
490	19681	20402
491	19700	20340
492	19742	20302
493	19743	20223
494	19784	20183
495	19825	20145
496	19865	20105
497	19906	20066
498	19946	20026
499	19965	19965
500	19967	19887
501	20009	19849
502	20049	19810
503	20090	19771
504	20131	19732
505	20172	19694
506	20212	19654
507	20256	19618
508	20295	19577
509	20333	19536
510	20373	19496
511	20414	19457
512	20457	19420
513	20497	19380
514	20539	19342
515	20577	19301
516	20618	19262
517	20660	19224
518	20700	19184
519	20743	19147
520	20787	19111
521	20826	19071
522	20868	19033
523	20909	18994
524	20950	18954
525	20987	18912
526	21027	18872
527	21067	18833
528	21105	18791
529	21144	18751
530	21185	18711
531	21224	18671
532	21264	18631
533	21304	18591
534	21342	18550
535	21384	18512
536	21422	18470
537	21465	18432
538	21506	18394
539	21546	18354
540	21584	18312
541	21624	18272
542	21642	18214
543	21684	18176
544	21726	18138
545	21763	18096
546	21802	18055
547	21841	18015
548	21882	17975
549	21926	17939
550	21964	17898
551	21967	17828
552	22006	17788
553	22047	17749
554	22086	17708
555	22127	17670
556	22173	17635
557	22192	17579
558	22232	17539
559	22269	17497
560	22310	17458
561	22348	17417
562	22389	17378
563	22430	17339
564	22469	17299
565	22509	17259
566	22547	17218
567	22589	17180
568	22629	17141
569	22648	17085
570	22687	17045
571	22707	16991
572	22747	16951
573	22788	16912
574	22832	16876
575	22877	16840
576	22917	16801
577	22919	16733
578	22960	16694
579	22962	16627
580	23002	16588
581	23046	16551
582	23090	16516
583	23129	16475
584	23169	16436
585	23208	16396
586	23251	16359
587	23293	16321
588	23334	16282
589	23374	16243
590	23393	16189
591	23434	16150
592	23453	16097
593	23495	16058
594	23539	16022
595	23581	15984
596	23623	15946
597	23664	15907
598	23705	15869
599	23746	15831
600	23789	15793
601	23828	15753
602	23869	15714
603	23911	15676
604	23952	15638
605	23991	15598
606	24030	15558
607	24071	15519
608	24114	15482
609	24153	15442
610	24192	15402
611	24237	15366
612	24277	15327
613	24321	15289
614	24358	15248
615	24400	15210
616	24437	15169
617	24476	15129
618	24520	15092
619	24561	15053
620	24603	15015
621	24642	14975
622	24683	14936
623	24727	14899
624	24767	14860
625	24807	14821
626	24847	14781
627	24884	14740
628	24926	14701
629	24970	14665
630	25010	14625
631	25049	14585
632	25088	14545
633	25129	14507
634	25167	14466
635	25212	14429
636	25250	14388
637	25289	14349
638	25331	14310
639	25370	14270
640	25411	14232
641	25453	14193
642	25463	14137
643	25503	14098
644	25544	14059
645	25582	14018
646	25628	13982
647	25636	13926
648	25679	13888
649	25722	13850
650	25761	13810
651	25763	13751
652	25802	13711
653	25844	13673
654	25883	13633
655	25925	13594
656	25964	13555
657	26003	13515
658	26044	13476
659	26045	13417
660	26087	13379
661	26126	13339
662	26165	13299
663	26204	13259
664	26243	13220
665	26283	13181
666	26326	13143
667	26368	13105
668	26406	13065
669	26445	13025
670	26484	12985
671	26522	12945
672	26563	12906
673	26603	12867
674	26641	12827
675	26679	12787
676	26716	12746
677	26756	12707
678	26796	12668
679	26839	12630
680	26877	12590
681	26915	12549
682	26955	12511
683	26995	12471
684	27040	12434
685	27080	12395
686	27120	12356
687	27159	12316
688	27198	12276
689	27237	12236
690	27277	12197
691	27319	12159
692	27357	12119
693	27395	12079
694	27436	12040
695	27475	12000
696	27519	11963
697	27561	11924
698	27602	11886
699	27642	11846
700	27682	11807
701	27724	11769
702	27765	11730
703	27804	11690
704	27845	11651
705	27884	11612
706	27920	11570
707	27962	11532
708	28000	11492
709	28042	11453
710	28083	11414
711	28119	11374
712	28159	11334
713	28199	11295
714	28242	11257
715	28282	11218
716	28319	11177
717	28359	11138
718	28400	11099
719	28442	11060
720	28481	11021
721	28518	10980
722	28558	10941
723	28597	10901
724	28635	10861
725	28675	10822
726	28714	10782
727	28724	10732
728	28764	10693
729	28804	10653
730	28847	10615
731	28889	10576
732	28931	10538
733	28972	10499
734	29014	10460
735	29056	10422
736	29104	10386
737	29151	10349
738	29192	10310
739	29232	10270
740	29278	10233
741	29322	10195
742	29364	10157
743	29404	10117
744	29447	10079
745	29488	10040
746	29534	10002
747	29576	9964
748	29581	9913
749	29624	9874
750	29666	9836
751	29713	9799
752	29756	9760
753	29800	9722
754	29841	9683
755	29876	9642
756	29916	9603
757	29961	9565
758	30000	9525
759	30042	9487
760	30082	9447
761	30129	9410
762	30171	9371
763	30212	9332
764	30257	9294
765	30298	9255
766	30340	9216
767	30385	9178
768	30427	9140
769	30469	9101
770	30515	9063
771	30557	9024
772	30598	8985
773	30639	8946
774	30677	8906
775	30718	8867
776	30759	8827
777	30803	8789
778	30844	8750
779	30884	8710
780	30926	8671
781	30967	8632
782	31008	8593
783	31051	8554
784	31088	8514
785	31130	8475
786	31169	8435
787	31210	8396
788	31251	8357
789	31292	8318
790	31293	8268
791	31335	8229
792	31374	8189
793	31416	8150
794	31455	8111
795	31494	8071
796	31535	8032
797	31571	7991
798	31617	7953
799	31659	7914
800	31701	7875
801	31704	7827
802	31745	7788
803	31787	7749
804	31831	7710
805	31876	7672
806	31916	7633
807	31921	7585
808	31963	7546
809	32003	7507
810	32049	7469
811	32094	7430
812	32133	7391
813	32174	7351
814	32215	7312
815	32257	7273
816	32299	7234
817	32342	7195
818	32379	7155
819	32420	7116
820	32460	7077
821	32500	7037
822	32503	6990
823	32544	6951
824	32586	6912
825	32627	6873
826	32666	6833
827	32709	6794
828	32752	6755
829	32793	6716
830	32833	6677
831	32874	6638
832	32920	6599
833	32959	6560
834	33000	6520
835	33040	6481
836	33078	6441
837	33124	6403
838	33163	6363
839	33204	6324
840	33243	6285
841	33282	6245
842	33327	6206
843	33364	6166
844	33406	6127
845	33449	6088
846	33490	6049
847	33532	6010
848	33572	5971
849	33612	5931
850	33653	5892
851	33692	5852
852	33736	5813
853	33779	5774
854	33821	5735
855	33863	5696
856	33906	5657
857	33949	5618
858	33992	5579
859	34033	5540
860	34074	5500
861	34114	5461
862	34158	5422
863	34199	5383
864	34241	5344
865	34284	5305
866	34324	5265
867	34365	5226
868	34405	5186
869	34409	5141
870	34452	5102
